"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777093.95123","5156523262.60518","3001096397.25066","2736999950.50702","2884798023.90046","3083849041.96219","3264729146.7809","3373153403.74995","3619393601.80914","3738833590.68989","3959424772.65728","4339529550.80371","4912347451.42022","5600076094.6952","6188084084.57212","7048227772.27278","7978593838.17516","9071661194.12856","9697605816.5624","8330243396.35924","8513508751.09706","8913643662.28574","9555426006.05632","9870755064.25618","10226102246.6276","10553337518.414","10574444193.4325","11367527508.1135","11958638938.496","12867495497.6469","11941035821.9185","12633615899.6682","14225451502.9981","15406163977.6894",
"American Samoa","ASM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","744923664.122138","752116030.534351","755198473.282443","752116030.534351","721291603.053435","734648854.961832","715126717.557252","685329770.992367","687384732.824428","687384732.824428","657587786.259542","641148091.603054","652450381.679389","673000000","661697709.923664","615461068.70229","631900763.358779","628818320.610687","656560305.343511","651422900.763359","662725190.839695","",
"Antigua and Barbuda","ATG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","387095908.993557","404064146.194399","436713652.379168","472353897.204379","490375108.400877","489961962.35397","516242438.3289","568719298.605496","612191037.523402","682557487.247039","727784182.824373","765727808.265083","805945565.043635","830215153.179637","848287550.612035","858115307.90483","903426095.155429","963738105.684428","921725174.48967","982603889.773275","1036364062.10708","1085396819.93955","1125640169.83605","1195469164.08273","1141098413.07784","1152820061.09893","1222875737.24746","1293395745.6788","1377129115.29174","1552134855.83376","1696721347.61236","1696483697.23139","1493533928.0477","1376434444.94739","1349473923.26693","1394989455.46113","1386609537.41236","1417273748.87615","1437755555.55556","1496700162.35408","1533568876.84089","1640200774.69966","1691054300.06629","1371776497.48049","1484148566.07947","1625386015.56633","1688158621.57823",
"Australia","AUS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","204556496020.616","209634264251.724","212347394915.947","225547290344.075","241290865664.326","255720398204.709","261804000641.526","278310424154.664","292486739692.211","313093232453.285","335559847086.201","348984184857.752","362631046662.097","372130520889.694","387414341096.21","392589303732.447","402751234563.422","417230643180.121","420958560166.314","438009144460.798","451305594857.179","466379040331.542","481887942318.357","471169061968.518","492813360779.094","518826292325.462","539404649863.998","553211370887.306","585064279420.793","607725922300.842","629466776079.67","627060575115.855","629746209994.416","655230327244.458","681311039099.666","707786283507.272","735134359250.411","763901984857.931","799524373774.542","839721933537.843","872651653770.258","890323770708.066","925754967998.798","954367849882.364","994683066030.821","1026057036344.3","1054328458936.16","1094111663603.91","1133349428616.57","1154798699180.01","1180435002406.5","1208849019421.68","1256196122893.84","1288884775424.06","1322334997273.41","1351296372254.31","1388583854795.63","1420237898460.73","1461119016244.31","1492847874023.89","1491062566266.52","1522541404227.63","1587133480804.53","1641762491418.85",
"Austria","AUT","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","83828672830.7266","88471087393.6781","90814399067.6331","94572541903.6469","100364498908.493","103857359026.078","109717885860.975","113018252310.359","118072782054.949","125482873016.001","134420861837.432","141296446649.862","150067933804.405","157406910004.143","163612107156.825","163016992180.116","170480635467.27","179141019329.484","178763651805.125","188339484767.778","191600555070.287","191324086648.201","195172100364.98","200974738503.121","201077788950.889","206102076058.434","210845294703.449","213706819428.428","220750340111.983","229331070934.266","239296977562.902","247532687599.64","252714846186.879","254046171785.085","260148662438.995","267089385643.72","273007465269.592","278865754355.301","288606201307.485","299463348574.799","309014799991.68","313084486617.415","317731815610.858","321358930858.678","329602607197.97","337250591613.85","348276446973.261","361424665131.865","366677270021.069","353527252232.556","359922498957.786","370459114608.076","372786509841.892","371851835102.085","374662287839.195","379546097300.633","387581921933.047","396388752620.721","406235924727.366","413365269561.549","387247796564.086","405817602863.188","427236226636.132","423156281454.21",
"Azerbaijan","AZE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20240091907.5767","20098411228.6619","15556170225.3742","11962695102.6124","9606044019.06944","8472530910.53572","8582673761.93048","9080468852.82118","9988515702.82903","10727665994.6477","11918436828.1641","13098362058.1026","14334705485.3859","15798035139.5108","17259953999.1872","22086102614.13","29705808016.0049","37132259975.9133","41127311680.0779","44950656172.1802","47220189860.7658","47267410115.7076","48290862738.2682","51096465688.5745","52501877459.7444","53076235354.746","51430872122.2426","51533733835.093","52306739842.6194","53614408373.9591","51308988759.0274","54190732985.9123","56745718946.4579","57383526259.1424",
"Burundi","BDI","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","798536036.456817","688768194.430732","751192343.690224","782257207.623602","831328498.740123","864309175.839385","904179696.716675","1029151061.69467","1026085388.70651","1011109250.30161","1226735079.77048","1260431391.16348","1179713806.9813","1260984889.48285","1251819552.42584","1260556254.40312","1360677964.1039","1516740284.27566","1502474189.35523","1527489707.74691","1542627981.94595","1730262074.40731","1712032036.30219","1775639624.64819","1778401525.63402","1987953781.69961","2052565867.06033","2165520539.64117","2274468405.67354","2305162407.677","2385838991.89422","2505055464.22991","2530356483.61119","2372462238.99867","2281596935.33521","2100894457.97115","1932822901.37672","1902091017.30555","1992440340.53429","1972316693.16467","1955416620.30264","1995616214.18073","2084351676.53824","2058844882.28283","2158362397.86831","2177787659.46859","2295688883.37796","2374934882.81749","2490397480.72402","2585349995.27363","2717827465.44662","2827426575.50415","2953153932.04472","3098572839.6491","3229972475.40545","3104003546.26497","3085379496.76838","3100806433.20295","3150727414.31633","3207836406.88248","3218331064.79216","3318099327.75908","3379450965.7308","3470696161.98259",
"Belgium","BEL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","107240692463.798","112579587830.543","118447239898.976","123601571372.492","132200143018.455","136907340419.152","141227992305.065","146690898577.583","152843305011.927","162976510134.73","173329873446.498","180238502881.349","189783220664.498","201894620107.557","211111631053.818","206961299483.628","218660295204.268","220029447425.454","226282456817.132","231579894903.22","241871430251.099","241195923298.874","242631007214.073","243387633982.27","249390504802.269","253509918686.249","258130802439.944","264085000038.944","276558287082.513","286152554601.844","295130312407.396","300540270633.774","305140504133.549","302205439784.666","311957523308.047","319396952585.876","323617567359.636","335894554944.544","342484242694.343","354617493993.784","367797580691.145","371841896085.61","378188843495.686","382114274583.92","395760365571.447","404948884226.677","415284559325.884","430554260439.959","432478428732.474","424233483110.434","435731531622.915","444146182789.14","445104666566.067","446464436746.25","454346946668.411","461044767544.531","466547349016.531","473426438780.183","482317238512.932","494099718421.514","470417598481.151","499595504127.06","520745539238.467","527263714444.414",
"Benin","BEN","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1651120631.20701","1702986960.90691","1644635648.42828","1722427374.61864","1836981870.46354","1934229170.87418","2003394550.95636","2024999131.08153","2102806394.29531","2163314605.68908","2208695701.82022","2175635020.73644","2315449323.60301","2401263703.41505","2481449394.19513","2359973874.26705","2380844452.67764","2499497734.13227","2530868380.99749","2696279545.78618","2879134857.7986","3165730597.15588","3236486776.27538","3095770068.39581","3341259668.13691","3592867374.83079","3670873612.96405","3615810400.39386","3738937613.95949","3632222333.60342","3958255490.52122","4125523428.11015","4247544481.2222","4495438486.53384","4586264345.8381","4863513136.1772","5073825258.08595","5364793325.34003","5577293440.15288","5875201745.58899","6219354272.83818","6551040876.248","6855207726.48731","7091272067.69746","7405393051.15179","7532259620.7003","7829312267.99952","8298002249.85464","8704320326.47543","8906198943.57193","9094481753.90847","9364019722.36167","9814543622.52956","10520350022.2065","11189200116.5963","11388160997.1089","11768488383.6733","12435945493.1089","13268812303.0524","14179807375.1016","14725558723.7319","15779238957.7761","16765953415.3733","17831064526.9239",
"Burkina Faso","BFA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1166782785.98608","1213966641.5058","1288368214.22299","1272031494.32608","1301069673.81082","1350049032.11506","1357307072.34754","1477066550.51673","1522423925.19439","1553269467.6992","1555087097.58311","1577065763.72581","1613519619.00794","1620769604.83282","1755073486.55337","1807697309.80526","1961982376.4042","1969248648.05364","2059988179.56406","2135478949.53865","2152496130.24403","2244091371.14198","2458675800.42369","2467182443.50436","2423298751.1015","2629699950.55815","2838902120.30277","2832192750.18472","2996335113.95777","3060764327.26471","3042310107.50399","3318247161.44233","3325969079.69165","3441093672.50713","3486344304.54047","3685636779.12882","4091600230.31209","4350059854.87114","4667950033.01846","5013156038.3976","5107828181.20084","5445629583.60137","5682675869.68484","6126066307.13183","6400419254.55947","6954815456.4763","7389711520.7284","7693530569.65392","8139754707.2893","8380850241.73524","9088720451.70527","9690626654.34607","10315931043.8746","10913490102.1529","11385699970.03","11832159315.6298","12537116611.6541","13314855313.1302","14194244128.6065","15030172259.3791","15332394848.5201","16396850182.5889","16642350339.7932","17134994111.3648",
