Column1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Cumulative 1990-2019
Bottom 50%,1.522664256,1.537820008,1.543671796,1.546979164,1.517889367,1.591843274,1.665396087,1.683879848,1.665995319,1.692216437,1.660908716,1.647909721,1.661155104,1.725408124,1.780303987,1.83425613,1.919281725,2.004080146,2.101311768,2.20302772,2.322564922,2.451289072,2.537936854,2.554692106,2.647900317,2.65314212,2.717154678,2.805349753,2.736836461,2.846719409,60.77958439
Middle 40%,9.176859547,9.456789786,8.645753816,8.811249741,8.687166353,8.894553307,9.105456331,9.130479981,8.937259076,9.152461241,9.295901921,9.520109554,9.756279523,10.31760371,10.60161285,11.09011767,11.55521662,12.13059361,12.44473549,12.71188161,13.5131751,14.20592285,14.62125849,14.62584905,14.7985331,14.86972416,14.85641353,15.09989532,15.50027495,15.77551587,347.2886442
Richest 10%,12.07451964,12.26711357,12.40703158,12.47127419,12.78115988,12.98938978,13.4061131,13.50591067,13.62762858,13.90571097,14.5153367,14.51871031,14.88273023,15.62870951,16.27562004,16.71178202,17.14088417,17.39504615,17.5631412,16.67209373,17.55288911,17.85489942,17.87254987,18.16436586,18.15699476,18.06157905,17.97647958,18.21776548,18.61619759,18.48731245,471.7009392
Richest 1%,3.359121038,3.485218831,3.537854671,3.581078361,3.704958002,3.744130929,3.909661866,3.954625493,4.038350557,4.191201682,4.40421086,4.38239178,4.541912888,4.812591997,5.039260389,5.201776756,5.388763585,5.455474865,5.516794177,5.236467271,5.49496697,5.55800564,5.657479932,5.716800379,5.799973902,5.755388779,5.663383721,5.75324903,5.953554554,5.912367211,144.7510161
