country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070
ALB,ssp126,gfdl-esm4,-0.005849707860088318,-0.07054638128849804,-0.0516655824244525,-0.04627086460642426,-0.007481992002358636,-0.012240725037362211,0.004605235062626087,-0.008903889726621553,-0.010324134317278452,-0.014527972813324462,-0.034340475327997985
AUS,ssp126,gfdl-esm4,-0.0004381022951880883,-0.00015693532109383113,-0.0008785059817921085,-0.00043531570370675815,-0.0005315637759261657,-0.0008291467209548956,-0.0001255268814421469,-0.0008409607553777858,-0.00033714012705133694,-0.0003920769914760797,-0.00044310438913172906
AUT,ssp126,gfdl-esm4,0.0009052093388665083,-0.003284352158660247,-0.00847188455814431,-0.008534467564693103,-0.005586475359095819,0.0011980461576293075,0.004002167901054407,0.00047812660532374224,0.0007810383826780702,0.0015633820457621073,-0.008579743821363492
AZE,ssp126,gfdl-esm4,-0.0022172050797011345,-0.01067460784878764,-0.004580797485134764,-0.0034912392864770475,-0.004264006396824938,-0.0033877449412324325,-0.0071072411086185935,-0.0051119825615559885,-0.001917076162292984,-0.005683837026580752,-0.0037144590907542095
BEN,ssp126,gfdl-esm4,-0.10508721047558797,-0.04204765578144803,-0.06631363922836227,-0.00674238422991997,-0.02286199066319943,-0.028889651102088604,-0.02347793889366789,-0.0225975913131909,-0.009420740094083413,-0.009348822038640847,-0.011512867918414367
BFA,ssp126,gfdl-esm4,-0.10003534937560735,-0.15229928015966473,-0.0794066281667705,-0.009421191213360481,-0.04818137109487227,-0.03185545411641961,-0.012910297868300532,-0.013585553230128364,-0.009454457142696491,-0.007347585775542444,-0.008804936047265628
BGD,ssp126,gfdl-esm4,-0.005793229842988663,-0.0059038706363078826,-0.003787887317499372,-0.0005136830411678187,-0.004166814165261061,-0.0013763780505597633,-0.0010535632856815329,-0.00080708094195376,-0.001919958664350887,-0.0005935126834253162,-0.000501766539219775
BGR,ssp126,gfdl-esm4,-0.04354558080743215,-0.05868644270437881,-0.06555461563279333,-0.03378098380127074,-0.029256994634631817,-0.042812422065475204,0.0053526533215594125,-0.01680829752716296,-0.036453634732755744,-0.004143794289309702,-0.03823569347493514
BIH,ssp126,gfdl-esm4,-0.016576032817535467,-0.08579708763800134,-0.08679602706650388,-0.05114771472349221,-0.016550255220276384,0.0066367079168670575,0.030915944811444582,-0.01245427708512449,0.011520568152421503,0.009710818807259804,-0.07134292999238408
BLZ,ssp126,gfdl-esm4,-0.18193249440990442,-0.07114713423672439,-0.19560678486368663,-0.03649608270349543,-0.06833324382739245,-0.03597031167592254,-0.05621720405331361,-0.03277315368387703,-0.04468016810863427,-0.016665180439293114,-0.013182432578501971
BRA,ssp126,gfdl-esm4,-0.03476579350305912,-0.062483650737449,-0.04292225862276615,-0.030329935220394448,-0.022121958778472867,-0.031097550362277245,-0.029697848813393355,-0.01972980508347321,-0.03852159871755007,-0.004079149714040125,-0.009113086544235115
CAN,ssp126,gfdl-esm4,-0.0007184139801320024,-0.013944603447900107,-0.011676012258160897,0.004046743289364459,0.0017280740735753958,-0.0042640427673755555,-0.005683613949459825,-0.013970657827397256,-0.006620349483956157,-0.0017278281856024779,-0.006160936980502851
CHE,ssp126,gfdl-esm4,0.00034882830152016244,0.0001596655416667323,-0.0003074078900515492,-0.0003108943974733524,-8.294372840305003e-05,0.00029786965401782756,0.000163967524857754,0.00014701268225565954,0.0003530985064959128,4.835834380729807e-05,-9.448809128268317e-05
CHL,ssp126,gfdl-esm4,-0.00040683730664742903,0.00022601629500185581,-0.00046102090671271405,0.0011510183822898133,-0.0009090224444793964,-0.0005013880870348639,-0.0007863767347644257,0.0001440580605378632,-0.00015539577102635947,-0.0008101677131053727,-3.765613964806032e-05
CHN,ssp126,gfdl-esm4,-0.02635484682544766,-0.006977167374943406,-0.01712279803081598,-0.020444074653139202,-0.01187949126692498,-0.02248849376164026,-0.017940428040786584,-0.01862546133886864,-0.008320738291975074,-0.01113694516914635,-0.016812758753848602
COL,ssp126,gfdl-esm4,-0.005727460062497448,-0.003143718930120836,-0.006149150677345077,-0.0013414145709623247,0.0012099777637580966,-0.003307108249023305,-0.004758578623458872,-0.005309030176180306,-0.004171565064191334,-0.0026677000058812073,-0.002151445113947345
CRI,ssp126,gfdl-esm4,-0.001004312723876956,-0.0001291775345092085,-0.00029825976581201666,-1.173038069501033e-06,4.672783479148817e-05,-8.773293676068953e-05,-0.00012470665632610616,-0.00013118562299964956,-0.00014106361877639154,-5.528043100867574e-05,-3.4122332502945536e-05
CZE,ssp126,gfdl-esm4,0.00044010277728466284,0.000447919665518791,-0.0007540211187585614,-0.0010926430690227256,-0.0015302592237963566,0.0003683422185683329,0.0008299194194253182,0.0005063874320689599,-0.0003660639526792897,0.0002085852214503556,-0.001901839835960495
DEU,ssp126,gfdl-esm4,0.00027788141510963,0.0013087841408032583,-0.0014014639382983422,-0.0004902395420012501,-0.0009950405841428888,0.001120613419793063,3.6215627735589114e-05,-0.00038740280736492694,-0.00023536943128684668,-2.5677014456256645e-05,-0.0014355601986488153
DOM,ssp126,gfdl-esm4,-0.0011001341163457442,-0.0005790021822326569,-0.001176872089793122,-0.00043609203598912895,-0.0006065225157122534,-0.0004302248876315014,-0.0005521898815564782,-0.0003317265171759127,-0.0004383749844286634,-0.0004760580339867662,-0.0002234223171101387
ECU,ssp126,gfdl-esm4,-0.023353090516754615,-0.023196314270708254,-0.022222706008373803,-0.004946898130406607,-0.012126871561796197,-0.013610448932466223,-0.00661613483952576,-0.008514164279645537,-0.008866993484888184,-0.006431224284895978,-0.004089274937768552
EGY,ssp126,gfdl-esm4,-0.0038773725116819837,0.004142840835833131,-0.010885208267707907,-0.0028038011521358086,-0.0064605686961647976,-0.0013514698133157313,-0.0037815327288028395,-0.0019478120727218888,0.0008067128861300238,-0.0016217587722990718,0.002000558361468257
ESP,ssp126,gfdl-esm4,0.0038209764203118333,-0.007129127723696305,-0.0071014438313364795,-0.0091171634915946,-0.007147689928823219,-0.005927828597990818,0.000929721499764899,-0.004641629133575169,-0.002279809745243339,-0.0020883565834741514,-0.0046257915287359385
FRA,ssp126,gfdl-esm4,0.0020746546159507643,-0.0016596198695958513,-0.009088217229880208,-0.008472467883556647,-0.008346991559808494,0.0002997146637725817,0.001280805960587346,-0.002842575178508112,-0.0028752345452225402,-0.0014257712610501081,-0.004904913753341248
GEO,ssp126,gfdl-esm4,-0.002566352387650915,-0.00666806156901719,-0.0060979240867885896,-0.0009643460854329283,-0.005383147414545042,-0.0045401665228234096,-0.0028882703071543654,-0.005292340359075444,-0.0024439507246333306,-0.005491367528707321,-0.004340651563415743
GHA,ssp126,gfdl-esm4,-0.03842435193328106,-0.02640694174999719,-0.029558309870460934,-0.014053033618811946,-0.008359074525230365,-0.016116505467122757,-0.01631898450267942,-0.010197617295400014,-0.009637778262532166,-0.004631365020268649,-0.00416347463733755
GIN,ssp126,gfdl-esm4,-0.06859040219673904,-0.07017823485695096,-0.0199131927170613,-0.017672498712999838,-0.00472831070164964,-0.006249212202699265,-0.004009829330777192,-0.004010730008590744,-0.004381809021561342,-0.003558796234158629,-0.0034728010441130563
GMB,ssp126,gfdl-esm4,-0.028989838824827346,-0.02170106609955893,-0.0192580748467552,0.0024879434543923595,-0.0019423418765429118,-0.0008859602812879087,-0.0018738751034819946,-0.002454658508959767,-0.0003837651442834125,-0.0017795902367397118,-0.0016310052555906693
GRC,ssp126,gfdl-esm4,-0.00844905700036911,-0.027247062722339094,-0.01720366013569368,-0.017545044618259106,-0.00028470358705112963,-0.00878521728656089,0.0011888874283316677,-0.004628856876276692,-0.008232236387926516,-0.0065570605064048165,-0.00905607130169457
HRV,ssp126,gfdl-esm4,-0.008466568531790258,-0.06408760846477533,-0.05794972545169365,-0.0459616211576154,-0.022873778323220902,0.003343865571529413,0.01740332031060023,-0.01180865941452932,0.0006991928822997718,0.0049887073356064005,-0.04903778862403918
HUN,ssp126,gfdl-esm4,-0.02019336812622152,-0.0426215529587188,-0.03907845291692293,-0.02519472294285836,-0.029663371362872316,0.002225892503196201,0.005714409052855664,-0.012158474216257799,-0.0034481360095773264,0.007150707561639273,-0.03581942026098829
IDN,ssp126,gfdl-esm4,-0.009502428192002461,-0.014669442322633624,-0.015313877287454437,0.0021961234573612386,-0.0015437551861176295,-0.005938349161747234,-0.0036978654362999188,-0.006439444310516126,-0.005130274765646797,-0.004154768507738437,-0.0029723036701435335
IRN,ssp126,gfdl-esm4,-0.004121408908013279,-0.006435190466182738,-0.00023633072159423595,-0.004789880837356307,-0.003266620613320233,-0.0018041027728891946,-0.006282762946253711,-0.004149211816836556,-0.001255146047908855,-0.004680125149053103,-0.0029132346427339587
IRQ,ssp126,gfdl-esm4,-0.005768383471744919,-0.007924700298451211,-0.008019872560865969,-0.003511794551447205,-0.0034970020910711063,-0.002661052154600949,-0.0017794052943478698,-0.003199973763455393,-0.0025903894854170237,-0.0020006400120382577,-0.0014629806419235837
ITA,ssp126,gfdl-esm4,0.0013611658320774303,-0.008992931733690127,-0.008175229879593413,-0.009827430094083111,-0.0021563767505531975,0.001212238196846629,0.000850150860354538,0.0017006896202896552,0.0014686002977116368,-0.0018651572161307857,-0.007345161966441913
JAM,ssp126,gfdl-esm4,-0.004552079523656271,-0.0045391885832600275,-0.005001506017347907,-0.0005917798312772494,-0.001563947324611405,-0.00183459041962243,-0.00326040289704478,-0.0022887300888076514,-0.00145377527134332,-0.0020090716406557583,-0.0007762567736881642
KAZ,ssp126,gfdl-esm4,-0.00184165456132764,-0.003614858789366705,-0.0023995718959184797,-0.0019044123240268376,-0.000756262669059226,-0.0022426042110966606,-0.0027984868765410886,-0.0006204981258519668,-0.0009132011085366535,-0.001917672879645282,-5.1736273331186305e-05
KEN,ssp126,gfdl-esm4,-0.040570064790043686,-0.016748144040131353,-0.013379607020883841,-0.012588773218686103,-2.653717329101566e-05,-0.006759651541948504,-0.004599247101047206,-0.004333045760762339,-0.002507802085625125,-0.0031674835145601163,-0.0017171992366411314
KGZ,ssp126,gfdl-esm4,-0.01340279835381271,-0.043667382542017075,-0.012316223830682082,-0.02152346757092621,-0.0002567910876906881,-0.01784607287564312,-0.023951388234480085,-0.0021768764018724697,-0.004190625508947612,-0.011284470226469608,-0.005688808823883728
LKA,ssp126,gfdl-esm4,-0.004123742856432126,-0.0018379374046126732,-0.0015051405217072111,-0.0011048234506844123,0.0004428036564488518,-0.0007430799583261768,-0.00020005928176591333,-0.0009167391769630164,-0.000608942027268161,-0.001032550843994252,-0.00027991090328874244
LSO,ssp126,gfdl-esm4,-0.00335680010247997,0.009311435273141109,-0.005129499222291938,-0.006798630815463127,-0.0005433018048306748,0.001975473506624375,-0.0023346531812750305,-0.0009771771375909756,-0.00040592313983597465,0.0011148088772572958,-0.0017054323934491606
MAR,ssp126,gfdl-esm4,-0.00011655193323006852,-0.0005938494735180681,7.65310332728189e-05,-0.0001424761006165935,-2.4570352682658272e-05,-0.00014709522722375354,6.316280041983157e-05,-9.605146285450968e-05,-3.174009811604252e-05,-5.310016853564655e-05,-2.0603277170714917e-05
MDA,ssp126,gfdl-esm4,-0.030282977672735537,-0.013024857054645558,-0.03702184724299027,-0.0032852331961762005,-0.016216722436213596,-0.012268107262944443,0.004040743016281885,-0.0019231221445626771,-0.017724850795562557,0.011645073197563399,-0.021131971292389147
MEX,ssp126,gfdl-esm4,-0.014295554708239316,-0.01143604741648767,-0.023787701467124684,-0.0006027200793016844,-0.004914733994868093,0.00025428503204638305,-0.0051062964141211495,-0.008284939441528695,-0.0035239459775306793,-0.004096794936363526,-0.004743457164647168
