country,ssp,esm,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
BEN,ssp126,gfdl-esm4,-154346.64592656094,-104316.03156581838,-59206.88697519562,-82477.12753520237,34865.1331160803,-70895.61687121392,-57863.71492078558,-11545.78179807857,-137109.99561471146,-137312.13412311257,-145758.17332357756,-146817.42864679536,31185.567888157675,-114862.19413717331,-124455.87072402584,-19795.531202289207,-88475.44938545694,-157167.546660921,-84035.99508609474,-40054.076799764596,-90038.4707107784,-107160.48808261608,-232848.15064826593,-126201.05296729476,57493.90797321092,-154133.54701792847,-178908.04610453403,-196218.1093486307,-160688.89411543845,-213184.15887616744,-168598.23251506232,-194433.05076171982,-31080.414735917984,-158578.24126223387,-180688.9368835025,-215268.15033923098,-213778.80393428757,-198743.02029909138,-74667.11342946967,-24170.180459723757,-116569.49309531694,-240839.6822275369,-230923.3865200868,-13185.966193651455,-30379.510903316273,-145777.2826656761,-217131.12269819158,-154929.3991699929,-115278.24908701784,-146427.3839134895,-221515.4289239658
BFA,ssp126,gfdl-esm4,-223979.55644944013,-78106.74989925246,-177463.58875860512,-41333.58657501634,-184568.54745090075,-242034.3489270057,-195038.65043626144,-186153.7429525461,-71350.02700849433,-186076.89353893712,-181717.2509508355,-106612.95404075233,-132340.32118598858,-169556.42207115973,-240026.55393630124,-32259.991095637888,-184280.77301067516,-285612.9686182758,-173424.52493052624,-179971.87076916164,-239998.4211233874,-221381.67880186354,-220650.159674653,-116393.10622170538,-47739.58176201706,-227197.72995616074,-129947.18154630145,-168773.66701162155,-284344.69495543034,-282812.65725751244,-128459.19470880186,-290162.9483280085,-186243.86099647556,-253602.09235431754,-162527.99119280087,-182501.31062554804,-241269.9869130223,-299307.8027190032,-163561.96019261068,-159386.9768296067,-166193.57021274805,-182426.24008916522,-114667.38274863217,-271228.6996074984,-235351.3890234501,-163833.06631660843,-195246.31148081218,-154695.66302204455,-346757.48913173965,-160996.20571291828,-241780.4988754203
BGD,ssp126,gfdl-esm4,-225102.681825976,-239408.93699431245,-131142.34463542645,-70384.80280724668,-276861.7093365519,-303332.23440918414,-59296.77116262648,-250208.08700220744,241007.2745932776,-241785.36213781565,-255764.08042289823,-221368.681637533,-82743.68586394904,-606636.4906584253,-296136.7237175399,-45186.77792732007,-283904.43771592766,-543767.3936727259,6196.969532912346,-529713.1173290473,-473946.27424256154,-185600.78156030033,-258674.6411611624,-209308.19144873586,-110277.03832968803,-197530.8074811843,-170422.4469274111,-381130.1604060228,-21098.39556063347,-342459.832502384,-185626.38236645912,-155552.34872387158,-367956.9083488426,130498.17198008564,-88679.5626103166,-171003.1397225609,-128475.43710462954,-259951.88940075226,-109100.93444746535,-50204.74261979676,-481113.3250874779,-424549.07808837725,-415204.23721224145,-107020.83444564717,-44025.64750906455,-171677.84518134687,-187651.95845015094,-505433.8875796188,-430341.84084554145,-536282.9900122619,-162957.04228174864
BGR,ssp126,gfdl-esm4,-399875.4319783832,-348543.35481826373,-192959.50159677473,-270355.2094644547,-303916.1861849854,-360008.6180449798,-205760.67021006084,-130085.28879336547,-279987.37259764073,-199916.25943882967,-479552.6078202422,-250096.06662819744,7384.285631929284,-265409.15746148553,-106217.66259859946,-288980.64844378905,-58658.66653769986,-145137.5888922917,68601.21734609526,-311464.8234031286,-277372.15115969186,-128572.31240304008,-317176.16142630356,5909.038569655289,-223334.7164907265,-433978.16765246517,-79759.888245981,-512884.2134159465,104852.79225678029,-248612.80732797697,57109.92486745855,120784.66442618202,-370091.50636727037,-276641.917185884,-188946.8530604859,-181661.4916523301,-145756.61833518147,-394163.6881541805,-297043.0290484746,-311389.2682485957,-401018.29119780695,-82047.92654325733,-474129.4344191831,-470129.2391327446,-531387.1226922261,-45651.74306067289,-191798.11954789172,-417755.83961514034,-476797.48375007615,-723723.729591872,-421749.9432551725
BIH,ssp126,gfdl-esm4,-45972.10405399155,-34242.71041220271,-33935.62363916542,-27409.56408080711,-103921.43468224833,-138868.28865650904,45588.84816187298,-17045.99226444526,-29679.078446514388,-22489.950324621008,-166803.25000406822,-47025.22166131058,-31627.126291629946,17090.883206316423,4013.020748931936,-114589.77644573487,-66419.40444609389,-12871.205697406047,9475.868162322857,-10892.79292726703,-40943.94941616099,-411.9572739216588,-49780.15784247457,-77364.56137574336,-27859.861267458717,17137.20141940682,10193.505306047622,-120712.34377802149,-33841.08389275075,15138.393455331698,80368.40633508237,53038.1885774425,8528.269362070834,-95298.4398154208,-9411.63686623555,-31901.419210758093,36686.74357817146,-35272.26694617493,-16742.379596893104,-36178.57587778233,28428.34484594058,-127076.8440007928,-105710.78511637411,-106241.38829858754,-70521.96531644688,22735.370456751683,29006.35174791836,-95373.32212777389,-175701.7119575393,-196608.68463856383,-155432.09722088615
BLZ,ssp126,gfdl-esm4,-15515.117605363701,1294.5003311254761,5882.587285349599,4276.879181922006,-4386.975125267129,-5284.911204951117,-7034.210940611309,-14773.141446826457,-15081.63234523408,-11267.372790864705,-18987.45060443608,-15826.030319807162,-4767.060795531284,-9352.671987184143,-4482.023755917755,-4862.0791853907,-9238.374282613435,-5738.6944568824265,-6047.505877516004,-9405.820766910323,-12042.363682141046,-21612.70026878187,-11966.278800948567,-8539.391522195934,-4020.641927827166,-8202.28540797303,-3949.0975873338425,-12161.724284125365,-21339.422311281516,-22883.273858941247,-16009.907039718546,-18545.66791944463,-14428.787180971864,-15798.012305499935,-12681.103923566707,-11371.673235591612,-6895.855745519082,-8062.185459081241,-6736.88682587853,-6706.945535491291,-18430.37534872332,-13535.862410858883,-17593.52660368711,-15160.151834704848,-18835.002769819912,-8042.786845757978,-19366.101600558217,-5086.643526233773,-15000.747946163609,-21564.687955414563,-7286.101180381562
BOL,ssp126,gfdl-esm4,-17826.61254118393,-21427.033295044388,8887.493972961553,-2986.493636644745,-53302.11138447703,-39058.890506561984,-58271.99483725143,-15602.636574532673,9387.8046986687,-51843.754847953904,-116007.95185188961,-66250.22263435005,-49231.26781116775,-33440.27581314557,-60646.238112358355,-16982.570798422817,-93836.12700406749,-103897.26209728506,-76488.22896496812,-46931.91950424535,-28323.43054658006,-61017.59721799392,-114736.7537493378,-49789.5698942363,-31263.18308736396,-83584.67502887193,-33332.473096373134,-21080.122773773714,-98821.38149827998,-84283.24587595604,-102943.44933482977,-100329.05048546901,-84650.65823961087,-47802.19981291545,-120626.78428699802,-118180.41904355038,-100890.58917431971,-78473.34831164879,-35978.14743553033,-105494.53320938174,-126070.47188197184,-92684.86072385393,-61945.99262645136,-77622.30817574018,-25556.217625722373,613.7335096966206,-93979.68048969797,-61087.89689446981,-66108.6792602682,-67338.33556902957,-8601.529246244632
BRA,ssp126,gfdl-esm4,-8122517.446062147,-3731982.3926666216,-3867439.3474108744,-372409.86313816044,-5636023.670197359,-8746158.378426785,-11576926.887970109,-5986360.116111402,-9852787.394018248,-8587545.740580326,-7268587.218227345,-6738408.49431708,-10908387.671881309,-5393505.046229418,-4230951.366637905,-6293773.427049334,-9682484.554415828,-5382455.243737174,-8400846.88265509,-9982045.292433001,-5565316.706591218,-9211122.953167481,-10140217.436914098,-1200123.9660164474,-3718232.807943947,-9234230.215748126,-12548699.658266138,-6954509.894269402,-11477665.279719245,-8486223.037296873,-10161516.282490814,-8939192.385535639,-9453590.18255796,-6620322.88527106,-9813445.269041795,-7641278.756467424,-8567365.431116225,-8459152.985290427,-8338783.4447209025,-8479834.3301503,-16619557.655938342,-11098548.365899356,-8739138.381413914,-5793871.494845502,-5423536.065978054,-1930358.4814937273,-5768000.468372872,-4799967.357568271,-5898688.712096932,-6325710.4687949605,-4664115.071626633
BTN,ssp126,gfdl-esm4,-1244.11029151954,251.12504338247527,-990.1973010644406,-954.4774488743573,-50.1608005676124,332.6965743866069,-1060.4899589356503,-249.9596103484304,-169.68270825098315,360.40977149524997,-307.59735839181917,-302.14084191130337,-599.8233649042819,-1281.3110230688078,-764.7680660100357,-227.89246925954484,-881.4267904550943,-921.085008322434,-787.6990303164431,-613.9112546203957,-175.26847989000677,-1214.9381780748413,-816.283250304585,-242.7932195602004,209.57199351019207,-303.20077932765525,325.0847812038963,-291.91813620031,-729.0090712072019,-107.472075793793,419.4709291687437,40.431679714226696,-975.2609499692821,-283.4771875103429,171.79686759773293,-286.08189224919863,-202.2209909805883,-389.2227310929712,-573.0705369331914,38.175371176285815,-65.58270339961445,-835.156344434597,-940.2695711679967,-391.987610090919,212.96777516928861,125.4639247073588,-682.6282721199073,-1108.3611317336993,-1498.4599323177044,-1640.3483735058874,-193.42662167504187
BWA,ssp126,gfdl-esm4,-3559.8907932552625,-3560.624110849897,-1862.623084236531,-4901.276515288924,-3459.492838383791,-4975.641242761858,-3657.1306078150847,-6728.9706929079575,-3335.7551762319677,-5010.439960304367,-789.1815694070978,-4672.382258691386,-3818.7479289085827,-3745.5765635903313,-6154.287641669427,-518.7879837201174,-3392.2069621227256,-8332.209491467871,258.465709842739,-3176.573783645037,-2746.963294023293,-413.30162803424673,-6204.206702562016,-4251.586449852327,-4687.172517909189,-3110.371043889403,-3042.8777296180865,-6871.365449965011,-6628.872853929575,-5375.538744717791,-3582.8605956834535,-5882.644497264818,-2456.84062612267,-11931.899561693337,-2404.159758361869,-3241.7835802786717,-3592.3439928741955,-8054.99930006037,-7284.861039488923,1769.3180351271826,-410.02310563134154,-6961.846282500253,-3752.619671443796,-2520.0943867559713,-2400.3047467804404,-2110.7481288561958,-2025.0285026361382,-1422.338324795325,-9848.051602129945,-4712.4402040662235,-6095.69051232327
