country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
BFA,ssp126,gfdl-esm4,-0.31306864891855146,-0.3187244512600889,-0.14922563199116584,-0.031624053987721425,-0.09219948739304154,-0.059547422813455736,-0.02593838650711129,-0.04801378714935518,-0.045087210008825575,-0.03344179896705676,-0.016748481401204295,-0.01780343341343054,-0.016001319089045243,-0.01021589920426481,-0.009363745364682544,-0.012288146221760714,-0.0036410625189217533
BGD,ssp126,gfdl-esm4,-0.015707938510354277,-0.013705380256450028,-0.00774854630775719,-0.0030322095931087484,-0.008642943350340817,-0.0036346742052795833,-0.00196156318779183,-0.0013610290993508374,-0.00389638545985072,-0.0015461960247535264,-0.0010124430291033747,-0.0011168229867419817,-0.0023457656013463617,-0.0007587000441699177,-0.0005383882800463112,-0.00021245293118643614,-0.0003638130650830219
BGR,ssp126,gfdl-esm4,-0.1176558808400142,-0.15716358294555746,-0.08945370839423221,-0.049600838945345574,-0.04373255677363637,-0.06336137643616399,-0.0021333651796410992,-0.027079786038668775,-0.051722447458996554,-0.013721714612311304,-0.05429992207881155,-0.07965705030816571,-0.0015153894799405238,-0.10527923422895015,-0.023217376904592916,-0.03174055711289954,0.001530265870098584
BIH,ssp126,gfdl-esm4,-0.04865480841549677,-0.10502107523726335,-0.10157872317062895,-0.059490962632936184,-0.027589148063896417,0.002808457436199583,0.015434825064428464,-0.019250275189160587,0.0076339555918027826,0.005608401206716585,-0.0878389156824135,-0.04963570959037808,0.016794846657294416,-0.08676659772465967,-0.045110996816574864,-0.024967508604941138,0.03903755637344237
BLZ,ssp126,gfdl-esm4,-0.2149635382665358,-0.056698292308966274,-0.1589976913144958,-0.03800020509566689,-0.0578853151909685,-0.030355155406557695,-0.04561104152723241,-0.0356264119346955,-0.035161991960695214,-0.01246321041162306,-0.011102915059039311,-0.008929422129664846,-0.011309690047576705,-0.005077330612792288,-0.01697005908498095,-0.008291202939057626,-0.016903971389581374
BOL,ssp126,gfdl-esm4,-0.011713927330472985,-0.0237827116144481,-0.056454546350415295,-0.023219101582457203,-0.005939070313766536,-0.01440913791956139,-0.02192289135157548,-0.01743377313295768,-0.02112401242818031,0.00024664920161731794,-0.00045505023766034244,-0.009075073697457213,-0.005505719502660423,-0.0019602910006572024,-0.013250601898741544,-0.001134744901958203,-0.008774817405959139
BRA,ssp126,gfdl-esm4,-0.0428059525859749,-0.043984305020300624,-0.040029394050777996,-0.03613254608793764,-0.017273990051440615,-0.021238708673864987,-0.025724341732196152,-0.019164239957042487,-0.028692863968157418,-0.005020550351417265,-0.010835912643541109,-0.006908833743597918,-0.010007686954483364,-0.0017008412788325684,-0.016706229936237518,-0.0027946617068969016,-0.007253456080961382
BTN,ssp126,gfdl-esm4,-0.00695839392922586,0.0006737081038538798,-0.00030025549734802965,-0.0005423139901132579,-0.000957267168240444,-0.0003264058325704289,0.0006919235905767037,-0.000298022989970901,0.00011889268042183837,0.00031704784362823074,-0.00013890685660612382,-1.2789300535390046e-05,-0.001044326978785169,8.60990033547978e-05,-0.000133346533606652,-0.0001750261886006287,-0.00048109512979512567
BWA,ssp126,gfdl-esm4,-0.005311075591052749,-0.004460183081522655,-0.0011612385218869598,-0.0006540830009227496,-0.0015006883346059476,-0.0012412525749476843,-0.0012325032624848887,-0.0011163330838255552,-0.00029464743398530173,-0.000496235336278344,-0.0025206573983742294,-0.0007073261921977667,-0.0017789329329723413,-0.00028011726133615056,-0.0005526804988950084,-0.0008166909256832826,-0.0005928547536018916
CAF,ssp126,gfdl-esm4,-0.5437156907041811,-0.35894118459916646,-0.22428765115129484,-0.12200522410923983,-0.14525447278899492,-0.06154402752132616,-0.07836858752862325,-0.07256602548760605,-0.06503558988274069,-0.038313843719934626,-0.029252729081364816,-0.03138606505674053,-0.01717852767114218,-0.009269362608378448,-0.022388187662948776,-0.02110683252354622,-0.013739914830238228
