country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070
EGY,ssp126,gfdl-esm4,-0.07610909919440803,-0.03038142549798738,-0.0027720664244994457,-0.009273944500582467,-0.005895773305208112,-0.010896918133258505,-0.009938915587984721,-0.006737044104839946,-0.006998123515150882,-0.005486696000521023,-0.005496779064202752
ERI,ssp126,gfdl-esm4,-0.2390171273783837,-0.02230773529545523,-0.0447136850676799,-0.006619512253389619,-0.10419906334432753,-0.07706760510294164,-0.02801572926535249,-0.09838631843289293,-0.04240543084045958,-0.057769895418238876,-0.04057360137261635
ESP,ssp126,gfdl-esm4,0.005009163647472721,-0.014626568101027549,-0.03125539468888512,-0.014748434996407822,-0.012559837593062187,-0.008476656054947592,0.004153592685553641,-0.006692066421045842,-0.00773356625825431,-0.007161113762013881,-0.007595301065374894
EST,ssp126,gfdl-esm4,-0.06800090667369192,-0.027950445298281144,0.01263009315386994,-0.0064932908620925385,-0.02705664082314881,-0.0025979183667914603,-0.01362290959168446,-0.02667836306471424,-0.02418676326504318,-0.0179702584233098,-0.019751368610014922
ETH,ssp126,gfdl-esm4,-0.17139308911358228,-0.011177067214276519,-0.018278976353097262,-0.015128324737918801,-0.011164014811846843,-0.008929782477073385,-0.008835301947249423,-0.008015040697554522,-0.004830612653429282,-0.004577783024692107,-0.002000469640722591
FIN,ssp126,gfdl-esm4,-0.006594238105946402,-0.004343158690642972,0.004308576572600511,-0.000824590722049241,-0.005423642147961733,0.0006411682679457322,-0.003017550333334279,-0.008103384099592513,-0.004887870486268302,-0.007275556954244902,-0.00211873442638329
FRA,ssp126,gfdl-esm4,-0.006143601760266253,0.0020657128287527617,-0.033899519723574564,-0.02294231720874272,-0.0364316039779053,2.889637617272825e-05,-0.00284254804585092,-0.0020823848079029434,-0.011864722072050186,-0.00833655982299513,-0.016411554137895266
GBR,ssp126,gfdl-esm4,-0.0018212921938514075,0.0009823131002709988,-0.006645838102266271,-0.0030783077278705687,-0.0071539161088850995,-0.0013803411344724531,-0.004233671887734831,-0.004313769694222407,-0.0038893387294509103,-0.004245598628260951,-0.004865820571439329
GEO,ssp126,gfdl-esm4,-0.004475240674961568,-0.00959667062311882,-0.006799415850236564,-0.0038721022208744005,-0.0059404777341379705,-0.00967124508757369,-0.00857042164301507,-0.010451060847466163,-0.005772373468227559,-0.01008663818915054,-0.005722906204136882
GRC,ssp126,gfdl-esm4,-0.01878328383568175,-0.029149490333801487,-0.01804483896205136,-0.012037816710451265,-0.0034533968427909027,-0.009876459310494095,0.001940108699523551,-0.006860430106181782,-0.008696732650052554,-0.005516528241074908,-0.007725447079038537
HND,ssp126,gfdl-esm4,-0.00012336595978048586,-2.950370730616634e-05,-3.534838930200334e-05,-1.825308908833107e-05,-8.683159613582486e-06,-1.1309353915899601e-05,-1.3075791087202282e-05,-1.1413633199218269e-05,-8.823744731960034e-06,-3.0773605191353906e-06,-1.4918632106803729e-06
HRV,ssp126,gfdl-esm4,-0.026979835664413213,-0.35876164295885027,-0.3859776167136365,-0.22258015699284991,-0.1899991388342936,-0.07454071859941745,0.05599473839884214,-0.14780212941709728,-0.09835762032984188,-0.01649038350365568,-0.2196855337031489
HUN,ssp126,gfdl-esm4,-0.06724325228019486,-0.07919658795687205,-0.07785053409833473,-0.0342984638010592,-0.05616219922258088,-0.018802683043514665,-0.005916190037148098,-0.027792287519946363,-0.025184066250971724,-0.002463235794753976,-0.05444613883275475
IND,ssp126,gfdl-esm4,-0.0906212253149721,-0.03513584187009234,-0.005293803977373158,-0.008934651182857158,-0.006333155864899674,-0.0257034725026001,-0.0024015158710430614,-0.01104697620498262,-0.013869872482938153,-0.00751439810464168,-0.00011349681967701318
IRL,ssp126,gfdl-esm4,-0.0004564659393932545,0.00029944893740506645,-0.00036110546035593997,-0.0010480977252204878,-0.0015873402644792486,-0.0009522217642569418,-0.0008016661998444795,-0.0005957576007293517,-0.002251951629386178,-0.0012351469501202987,-0.0010684880779511152
IRN,ssp126,gfdl-esm4,-0.021526421403434116,-0.007464815424017195,0.0008223701556170559,-0.006238237284085534,-0.0018245689497632315,0.0003226924364966115,-0.005725899828888809,-0.0035385604997838745,-0.0007364009791886337,-0.005977358395666751,-0.004960841067137508
IRQ,ssp126,gfdl-esm4,-0.24693593755845009,-0.06255173543843077,-0.014506208341600515,-0.04695940352698823,-0.046756697637626715,-0.039962401308617834,-0.03424912852860702,-0.05437388200280584,-0.008017782008144314,-0.048628397594846086,-0.04232708016532111
ISR,ssp126,gfdl-esm4,-0.000878541630733969,-0.0006635066164613206,-8.77302450480605e-05,-4.14548644131722e-05,-0.0003632915109815954,-0.00031295517761584734,-9.520378845026561e-05,-0.00017059344690449672,-0.00022757606270864416,-0.00011589155951352541,-0.00032985807821235823
ITA,ssp126,gfdl-esm4,-0.005007161205152641,-0.017079989033842263,-0.014553840473074882,-0.011661753880190334,-0.005953034806557629,-0.0009935252440965146,0.00032447997977029687,-0.0027675014197608245,-0.0016743724623824586,-0.0048564155115334035,-0.006941156903090183
JOR,ssp126,gfdl-esm4,-0.00318402523688017,-0.003546617844388083,-0.0004412918156637649,-0.0003017609159651592,-0.0017566835057898826,-0.0011682458838430231,-0.00026831229298971196,-0.0005537327746466884,-0.0006118864722112065,-0.0005332821247495402,-0.0008133748579405216
JPN,ssp126,gfdl-esm4,-6.817924897136677e-05,-9.924292278865882e-05,-0.00020086299676165415,-0.00022267684237378902,-9.163081765104271e-05,-0.00016843127337410756,-9.865705658941036e-05,-0.0002834430209803811,-3.892738505504015e-05,-0.00011425156749671875,-0.00013215840233443018
KAZ,ssp126,gfdl-esm4,-0.04264418564182459,-0.11120034874147894,-0.05919631385151981,-0.07539035765484711,-0.044263962436599344,-0.035704354587139026,-0.06413361266260496,-0.02103219792691409,-0.04008532557692922,-0.032914668394518606,-0.03157326705002259
KEN,ssp126,gfdl-esm4,-0.02563061765414343,-0.007491763917696402,-0.0035266029129533928,-0.0032395424617707317,-0.0005648214180651474,-0.0018986935807937086,-0.001055021653623107,-0.0012041364420018999,-0.0009957100281593899,-0.0008192639602436363,-0.0005460785485631799
KGZ,ssp126,gfdl-esm4,-0.060199439634623035,-0.11295737365239035,-0.04316687017164759,-0.05618606149963301,-0.0029904543392756293,-0.03281670173186835,-0.06500208830977867,-0.010362963781672813,-0.014682344028902098,-0.03173505139406725,-0.015969694988853506
KOR,ssp126,gfdl-esm4,-2.103919086687744e-05,1.7313428386380292e-05,-4.3717378860692664e-05,-4.3513184495735226e-05,-5.728934957105341e-06,-3.862996703174491e-05,-3.676334505337915e-05,-5.027764189999267e-05,-3.8323771807624666e-05,-5.0967227244405275e-05,-4.55204658850699e-05
LBN,ssp126,gfdl-esm4,-0.005079843242878484,-0.00013665837072353965,-3.150975951065866e-05,-2.078554654214107e-06,-2.232061557034275e-05,-2.4540629528291498e-05,-7.696678259737055e-06,-1.8910906536542655e-05,-1.779329496887461e-05,-1.4308032357539902e-05,-3.6077437323402095e-05
LTU,ssp126,gfdl-esm4,-0.1811412004589156,0.0008691804541544741,-0.029041663811108193,-0.0863851892392784,-0.1245452815336949,-0.04827295445386334,-0.06511531818319696,-0.08244809257888068,-0.08703630699222427,-0.04157629532077763,-0.12168041857681859
LVA,ssp126,gfdl-esm4,-0.18570428043728418,-0.019040398157147267,0.012959972187833903,-0.044600823387343294,-0.07780326444921319,-0.022317968236007804,-0.05094996859687092,-0.05927164910285905,-0.053626248735598375,-0.028901060827419646,-0.0454146548786397
MAR,ssp126,gfdl-esm4,0.006872566603359768,-0.09995475495011094,-0.07762130425106308,-0.02150186355076428,-0.009503205964465425,-0.009178595955581775,0.006620892047602545,-0.007926525387773229,-0.005297899262351842,-0.006683656507594754,-0.012864649934917144
MDA,ssp126,gfdl-esm4,-0.15553531082913905,-0.09748382207304394,-0.18759348765503703,-0.035911504863872026,-0.06371445584572138,-0.06761069508091701,0.004183002410981913,-0.024410980128684995,-0.07493935925448954,0.03252511431095991,-0.09841090473689575
MEX,ssp126,gfdl-esm4,-0.002308497790972661,-0.008554549699023396,-0.006245347566759497,0.0008668767306849897,-0.0016887495856894796,-0.003536839294035903,-0.0026557592713611737,-0.0020630698765129337,-0.0008099191953425892,-0.0011217165607616127,-0.001623461120894408
MKD,ssp126,gfdl-esm4,-0.04803032245511497,-0.07678120866300259,-0.05017634977913185,-0.024996592818013388,-0.012968934310778396,-0.01783383638707014,0.00683775347977748,-0.014531135855239938,-0.013102146959880694,-0.00305906707410094,-0.015786019723588156
MLI,ssp126,gfdl-esm4,-0.007818176760639348,-0.011008823687943882,-0.0061534558357950065,-0.0019285972532509896,-0.0030554402752582923,-0.003478908039878062,-0.0018102210713629068,-0.0018437407207538292,-0.0009217539959102948,-0.0010340669051524649,-0.0007564185251433016
MNG,ssp126,gfdl-esm4,-0.009347102773906466,-0.01817485627260375,-0.0032390503116295965,0.010867068846867355,-0.008515791133052354,-0.009904304394657348,-0.00032099670663842853,-0.0051882070277492354,-0.004847677827614961,0.000658690548369231,-0.0019469593544607791
MOZ,ssp126,gfdl-esm4,-7.28361131538426e-05,-0.0026590762835802025,-0.0005462003281709084,-0.0009710571819068877,6.829119284094811e-05,-0.00035768113232167255,-0.00023751817775179282,-0.00011499028772407289,-7.924213125195455e-05,-2.417413917338909e-05,-8.495521549077177e-05
NGA,ssp126,gfdl-esm4,-8.886608996070277e-05,-9.111338750957084e-05,-0.00016164593334650027,-6.520973468460073e-05,-7.023017607777989e-05,-9.174636413886085e-05,-3.1463720745383704e-05,-4.696898292384842e-05,1.2630668786080718e-06,-3.124642622908945e-05,-1.5186547810829634e-05
NLD,ssp126,gfdl-esm4,-0.0006262278712679537,0.001495536028790831,-0.0021400093448107433,-0.0010706955300120512,-0.0032019535256065383,8.816724368964154e-05,-0.0006167874198929234,-0.0009328788362190842,-0.0013204162647620088,-0.00117276150903975,-0.001234419999591724
NOR,ssp126,gfdl-esm4,-0.0011176960764282065,4.468190650847127e-06,-0.0001954932909535746,-0.0006396237974595449,-0.0022717649756372185,-0.00012990486032717622,-0.0005615242504137189,-0.0019248188741236405,-0.001243650936977523,-0.0016034562597021255,-0.0012156673257625779
