country,date,tmax,tmax2,tmax3
AFG,1971,302.67921843291373,91649.37740211816,27761328.611916084
AFG,1972,299.84589906423867,89949.64111726594,26996202.64717773
AFG,1973,302.6726962902283,91648.02990896834,27761871.30923686
AFG,1974,301.4102255961675,90884.57372078497,27415478.194782414
AFG,1975,302.2476307292852,91393.84560153211,27647819.303370915
AFG,1976,302.32379513247486,91437.31611411717,27666387.927036706
AFG,1977,302.7363160349592,91687.4420684856,27780176.48792783
AFG,1978,302.1256260981991,91318.11387121785,27612588.127332184
AFG,1979,301.45432771278394,90922.4888177783,27437676.631291483
AFG,1980,302.3970931415049,91484.02103026837,27688654.786277734
AFG,1981,301.44096852074114,90907.63061650973,27427940.40515252
AFG,1982,301.85380744831303,91156.70303084249,27540699.420367636
AFG,1983,303.21786664835827,91986.61061846463,27919524.655757725
AFG,1984,303.30604294073265,92032.2208524648,27936725.55004021
AFG,1985,302.5445616089099,91570.72290848874,27726887.839883316
AFG,1986,301.6830914299739,91055.35358167494,27495508.70656153
AFG,1987,302.14707622516744,91333.0781641979,27620267.094528787
AFG,1988,302.94600592110515,91817.71541958161,27840867.831674147
AFG,1989,302.58518159609406,91597.79759578184,27740266.234621305
AFG,1990,302.96684944151224,91826.87123810592,27843447.234939255
AFG,1991,302.1419998290502,91332.22061114058,27620856.765188232
AFG,1992,301.0633879388781,90681.63457446625,27326427.654119816
AFG,1993,301.7659816808573,91101.12570538308,27514351.9547821
AFG,1994,302.71165817082476,91672.94155767832,27773784.896348093
AFG,1995,302.14893149684434,91341.45866731432,27627313.137256756
AFG,1996,301.76279581157013,91101.53674053753,27515597.445483904
AFG,1997,302.5804236264154,91597.78865857517,27741571.042114668
AFG,1998,302.21856699514615,91377.4515381815,27640922.235580325
AFG,1999,302.70559721483534,91672.53403143646,27775059.222550735
AFG,2000,302.56522653894314,91582.16418936414,27731597.257758133
AFG,2001,302.73915235615004,91688.79433710713,27780641.45245559
AFG,2002,302.6257863265107,91624.90089443215,27753737.697507758
AFG,2003,302.2236487565847,91382.13853508612,27643765.84261682
AFG,2004,302.46547717503273,91526.02519789305,27708005.15703795
AFG,2005,302.1977252351634,91370.18176854112,27639998.3207662
AFG,2006,303.14012196087987,91933.68494567642,27892849.499305565
AFG,2007,302.6459742998108,91636.83187663289,27758995.25170187
AFG,2008,303.6563682870147,92245.09330283743,28033790.926617797
AFG,2009,302.73724833396034,91691.3085544382,27783432.321877144
AFG,2010,302.7484569136515,91700.99337178012,27789124.6576758
AFG,2011,303.6414391875646,92236.96719391496,28030517.157837942
AFG,2012,303.0112469072042,91855.79627898196,27857493.23731926
AFG,2013,303.1622697384595,91946.79649080127,27898657.162529178
AFG,2014,303.2468349757196,92000.0596409114,27923782.387049727
AFG,2015,302.99018271075676,91846.99445926707,27855299.852405176
AFG,2016,303.1481306625864,91939.05441015057,27895506.930224437
AFG,2017,303.40525842578654,92092.7472638997,27964446.078044772
AFG,2018,303.0974100831614,91913.95882560205,27886624.400351066
AFG,2019,302.55223899440483,91586.01364357455,27738614.523427516
ALB,1971,298.2394936588043,88973.36895971665,26551181.226006474
ALB,1972,297.9591988346212,88807.27984898385,26477334.18722752
ALB,1973,297.3125519650715,88430.76533272673,26312828.915898353
ALB,1974,296.1959880047036,87768.97198616964,26018634.132047564
ALB,1975,297.32251456110515,88429.10753468008,26308826.11762125
ALB,1976,296.72429762944853,88073.00039479329,26149768.268209074
ALB,1977,297.6248674812591,88611.32321086783,26391136.102296095
ALB,1978,296.5085496528934,87953.81007921271,26100634.175468393
ALB,1979,297.74306768356155,88686.66319276608,26427000.978830747
ALB,1980,295.5592480869545,87394.76923393513,25853650.497470226
ALB,1981,297.36488364479965,88456.5689541043,26322045.69626157
ALB,1982,297.6274129389733,88622.09397807227,26400054.716955636
ALB,1983,297.8335953472296,88732.94758845793,26444316.512471147
ALB,1984,296.27554390885985,87815.6142327719,26039133.295184884
ALB,1985,297.8087700159426,88721.76486387172,26440926.458072573
ALB,1986,297.6923907075406,88644.08108770233,26402449.07893886
ALB,1987,296.81060653144357,88132.88885933686,26180352.778486047
ALB,1988,298.21838189945106,88973.23058655752,26556669.831713434
ALB,1989,296.8539252562734,88149.13047639997,26183315.065065604
ALB,1990,297.6892606819535,88651.7897604872,26410202.12708213
ALB,1991,296.2415853157812,87802.14762955629,26036170.451976523
ALB,1992,297.034954792099,88258.07386416322,26232461.447837763
ALB,1993,298.04641857834554,88861.26985791416,26502366.724816356
ALB,1994,298.36143746493525,89059.8046830681,26595929.454273727
ALB,1995,297.6019489405638,88605.33441116901,26391852.502020907
ALB,1996,297.7076979989075,88663.67991097951,26415838.275076415
ALB,1997,296.88501719258835,88189.69616171792,26211050.518669512
ALB,1998,298.3081194021281,89025.26362206538,26579329.27807197
ALB,1999,298.4463894862478,89099.45725966513,26608755.64258876
ALB,2000,299.5032778128648,89732.67793295173,26893418.43666081
ALB,2001,297.8690877484204,88763.50717756484,26462133.140926465
ALB,2002,298.3080965780239,89025.52223549272,26579507.526849017
ALB,2003,298.86738024878946,89366.75411115057,26735415.245347053
ALB,2004,297.0500339522587,88275.65457706929,26244226.01130878
ALB,2005,297.59488126322117,88597.24865081692,26386579.170243677
ALB,2006,298.0560315819186,88879.08142286913,26515762.672656305
ALB,2007,299.44364662750934,89704.21888354015,26883944.91604765
ALB,2008,298.2609547982543,88998.62357675015,26568040.828375515
ALB,2009,298.54264156902707,89159.65099424846,26636992.591441058
ALB,2010,297.9439095987593,88805.12416987953,26479501.556579366
ALB,2011,298.0858257662446,88888.9034084585,26516580.532754213
ALB,2012,299.1713564671068,89546.4440607517,26815304.340477843
ALB,2013,298.9710478862042,89413.89681219932,26750169.46762844
ALB,2014,297.5746850291952,88584.24733460178,26380303.659344804
ALB,2015,298.8605667613545,89353.05604223389,26725190.809038352
ALB,2016,298.6552746772518,89226.70796435881,26666917.654644553
ALB,2017,298.96197321506895,89418.36995998482,26756565.80252764
ALB,2018,299.7425485208909,89864.59551564712,26947566.103999387
ALB,2019,298.07570433654155,88891.48268203934,26521581.573958345
ARG,1971,296.0541526359042,87698.91390848732,25993636.92067512
ARG,1972,298.05765404771483,88887.03346711452,26522453.041003015
ARG,1973,296.5739449270321,87993.85599710923,26119029.384814918
ARG,1974,297.22453154436994,88383.24312801818,26293844.715610985
ARG,1975,297.45935573527987,88517.7536825206,26351646.85805525
ARG,1976,296.4678641195878,87936.48144707971,26095953.202852495
ARG,1977,297.0998588843156,88308.7315388493,26260379.51028757
ARG,1978,297.012452844525,88258.10394157481,26238411.280990478
ARG,1979,297.8134004020464,88731.09760015826,26448063.436043
ARG,1980,297.87529300825304,88787.12678124805,26481611.843760837
ARG,1981,296.95410408918934,88221.17467521243,26220978.95566782
ARG,1982,297.42117852876964,88507.03398179499,26352055.654941585
ARG,1983,296.35458969205064,87874.20180859244,26070431.884880736
ARG,1984,296.07498349267837,87714.95550567268,26002410.863169607
ARG,1985,297.61941079206474,88614.01299353858,26395039.67386862
ARG,1986,297.2701160164751,88409.13392859137,26304945.215766303
ARG,1987,297.4968399948561,88553.84566900606,26373927.304548033
ARG,1988,296.41927984709656,87909.34495244194,26084669.38539861
ARG,1989,298.0078452868978,88853.69256341874,26505932.94417521
ARG,1990,296.279732601448,87819.91514935113,26041931.92876789
ARG,1991,297.4964216843091,88542.44968945441,26363782.600018393
ARG,1992,297.390158035104,88482.73595169523,26338732.886306763
ARG,1993,297.41713344822597,88503.01336096833,26349630.98443192
ARG,1994,297.4921764138496,88538.84848994242,26361747.407609407
ARG,1995,297.0236312614533,88262.36311039695,26239283.475758262
ARG,1996,297.12907368229736,88329.20179898402,26270894.837130245
ARG,1997,298.01695770644164,88858.0808299372,26507292.3844917
ARG,1998,295.7098097823667,87474.57389325101,25885011.44063301
ARG,1999,296.2293021709779,87797.23002653889,26035013.85472016
ARG,2000,296.7130577733689,88079.0442221117,26158137.67270908
ARG,2001,297.04054189236143,88285.7572617676,26255691.06183098
ARG,2002,296.53100690868195,87975.95505394258,26114419.33000972
ARG,2003,297.39819141976983,88489.05608436333,26342295.391391438
ARG,2004,297.2618376507587,88411.7387241014,26309444.23020074
ARG,2005,296.79451260290017,88128.53151553386,26180673.122578133
ARG,2006,297.22791923431856,88385.57531904547,26295115.503620062
ARG,2007,296.49881927324685,87957.64641492609,26106621.94069533
ARG,2008,297.6837164753588,88659.04902998866,26418081.165389083
ARG,2009,299.24619269411505,89595.9897874901,26839677.695154686
ARG,2010,297.46294714917417,88524.83265765157,26357010.047569193
ARG,2011,297.35284316684556,88461.3601215777,26329529.995678395
ARG,2012,297.9448415103691,88817.62188106918,26490377.408833824
ARG,2013,297.69444786177223,88660.73951101034,26416869.72764713
ARG,2014,296.6142723151076,88019.20098593169,26131080.235958956
ARG,2015,298.3834170550533,89066.588899555,26596170.042386107
ARG,2016,295.9239994064627,87625.19221263958,25962486.139837038
ARG,2017,297.38357184305,88478.93181000646,26337098.949325934
ARG,2018,298.1768557064303,88960.35262974682,26556184.25272885
ARG,2019,297.0408604371825,88270.8009255349,26242327.636169896
ARM,1971,292.8321258466225,85800.66160811095,25154338.123439997
ARM,1972,292.3534742289951,85511.58982763608,25023545.328589685
ARM,1973,291.52995640916,85033.77377900286,24815541.089929406
ARM,1974,291.41984550555946,84982.68297248254,24798644.147842996
ARM,1975,293.5701449916047,86226.36859539984,25338660.817906275
ARM,1976,291.13953522299346,84804.70134909023,24714597.6784283
ARM,1977,292.4323955273089,85556.27690788629,25042510.858164653
ARM,1978,290.97889424266214,84721.74687912792,24683092.1070701
ARM,1979,292.3215959158258,85487.77417314363,25010863.176864408
ARM,1980,293.51600767047023,86209.44682888128,25337648.3686459
ARM,1981,290.8342529295569,84646.27962132062,24653721.262826648
ARM,1982,292.2123382602713,85423.51740305134,24982495.44786878
ARM,1983,292.67874700286006,85701.75700955415,25107051.90854715
ARM,1984,292.05248292599794,85344.57066096825,24954259.846635416
ARM,1985,293.2606704205441,86035.09143680646,25250110.595003404
ARM,1986,292.0141316821192,85317.77779274838,24940630.74934231
